accelZ,Date
-0.36,22-08-2023 14:24:36.593
-0.06,22-08-2023 14:24:36.770
-0.05,22-08-2023 14:24:36.953
-0.02,22-08-2023 14:24:37.141
0.15,22-08-2023 14:24:37.344
0.06,22-08-2023 14:25:07.796
-0.03,22-08-2023 14:25:07.951
-0.14,22-08-2023 14:25:08.134
-0.1,22-08-2023 14:25:08.320
-0.25,22-08-2023 14:25:08.507
-0.15,22-08-2023 14:25:08.682
-0.24,22-08-2023 14:25:08.870
0.34,22-08-2023 14:25:09.049
-0.15,22-08-2023 14:25:09.235
0.1,22-08-2023 14:25:09.413
-0.04,22-08-2023 14:25:09.603
-0.28,22-08-2023 14:25:09.783
-0.03,22-08-2023 14:25:09.963
0.38,22-08-2023 14:25:10.150
0.04,22-08-2023 14:25:10.331
-0.15,22-08-2023 14:25:10.518
0.02,22-08-2023 14:25:10.702
-1.08,22-08-2023 14:25:10.881
-0.08,22-08-2023 14:25:11.069
0.5,22-08-2023 14:25:11.247
-0.16,22-08-2023 14:25:11.435
0.01,22-08-2023 14:25:11.621
-0.02,22-08-2023 14:25:11.805
-0.02,22-08-2023 14:25:11.985
0.06,22-08-2023 14:25:12.163
-0.02,22-08-2023 14:26:02.068
-0.05,22-08-2023 14:26:02.171
-0.01,22-08-2023 14:26:02.374
-0.06,22-08-2023 14:26:02.540
0.06,22-08-2023 14:26:02.721
-0.14,22-08-2023 14:26:02.913
0.02,22-08-2023 14:26:03.089
-0.04,22-08-2023 14:26:03.272
-0.02,22-08-2023 14:26:03.465
-0.01,22-08-2023 14:26:03.636
0.01,22-08-2023 14:26:03.824
-0.29,22-08-2023 14:26:04.012
-0.11,22-08-2023 14:26:04.190
-0.27,22-08-2023 14:26:04.369
0.7,22-08-2023 14:26:04.555
0.16,22-08-2023 14:26:04.738
-0.02,22-08-2023 14:26:04.921
-0.04,22-08-2023 14:26:05.101
-0.26,22-08-2023 14:26:05.293
0.45,22-08-2023 14:26:05.468
0.6,22-08-2023 14:26:05.659
0.25,22-08-2023 14:26:05.841
-0.08,22-08-2023 14:26:06.025
-0.21,22-08-2023 14:26:06.207
0.51,22-08-2023 14:26:06.391
1.23,22-08-2023 14:26:06.571
-0.33,22-08-2023 14:26:06.756
0.05,22-08-2023 14:26:06.935
0.02,22-08-2023 14:26:07.124
-0.16,22-08-2023 14:26:07.303
0.01,22-08-2023 14:26:07.493
-1.04,22-08-2023 14:26:07.672
0.54,22-08-2023 14:26:07.853
0.51,22-08-2023 14:26:08.043
0.26,22-08-2023 14:26:08.228
0.31,22-08-2023 14:26:08.407
0.96,22-08-2023 14:26:08.590
-0.62,22-08-2023 14:26:08.773
-0.02,22-08-2023 14:26:08.950
-0.06,22-08-2023 14:26:09.133
-0.05,22-08-2023 14:26:09.323
0.17,22-08-2023 14:26:09.501
